GEOID,year,black_wealth_index,latino_wealth_index,white_wealth_index,black_white_gap,latino_white_gap
24003702205,2014,-2.42915214085766,-1.049582891579,0.429742478360543,-2.8588946192182,-1.47932536993954
24003702205,2015,-2.6250626544198,-0.613547405498423,0.50623994547319,-3.13130259989299,-1.11978735097161
24003702205,2016,-2.53852521467438,,0.640450903995052,-3.17897611866944,
24003702205,2017,-2.09116883791733,0.296394386130507,0.547787793827205,-2.63895663174453,-0.251393407696698
24003702205,2018,-2.22623457960511,0.296394386130507,0.660909360360708,-2.88714393996582,-0.3645149742302
24003702205,2019,-1.86284086850288,0.296394386130507,0.717877434102893,-2.58071830260577,-0.421483047972386
24003702205,2020,-0.370516027976298,0.296394386130507,0.745404018976066,-1.11592004695236,-0.449009632845559
24003702205,2021,-0.298027555650097,-0.668491760891899,0.69383680981246,-0.991864365462557,-1.36232857070436
24003702205,2022,-0.386768488338177,-0.903757210320202,0.826431910581322,-1.2132003989195,-1.73018912090152
24003702205,2023,-0.322829698046733,-0.691672208868413,0.977470654159583,-1.30030035220632,-1.669142863028
24003702206,2014,-0.556806908425415,0.807957740111205,0.634284565814634,-1.19109147424005,0.173673174296571
24003702206,2015,-0.820396908119214,0.791409777704177,0.781679976084593,-1.60207688420381,0.00972980161958414
24003702206,2016,0.223806487690253,1.33616004436748,0.623624039853109,-0.399817552162856,0.712536004514376
24003702206,2017,-0.0719741375983839,0.629171835691337,0.653744374347895,-0.725718511946279,-0.0245725386565587
24003702206,2018,0.368553131945085,0.913468271116978,0.60954950957676,-0.240996377631674,0.303918761540218
24003702206,2019,0.423679141610035,0.249821116157683,0.703656359780109,-0.279977218170074,-0.453835243622425
24003702206,2020,0.337717517436763,0.598951761211114,0.621084281879051,-0.283366764442289,-0.0221325206679369
24003702206,2021,1.09699053699529,1.00749600655736,0.758706650508035,0.338283886487251,0.248789356049322
24003702206,2022,1.14229246146224,1.03817085269926,0.847272184182486,0.29502027727975,0.190898668516772
24003702206,2023,0.990578209234989,1.38139210996524,0.748174310736754,0.242403898498235,0.633217799228482
24003702208,2014,-0.0106931684607834,-0.301162104752201,0.53114893625293,-0.541842104713714,-0.832311041005131
24003702208,2015,-0.135041200095108,1.46052635656682,0.365452219435374,-0.500493419530481,1.09507413713145
24003702208,2016,-0.232404902966324,1.1768632462097,0.507044219536722,-0.739449122503046,0.669819026672981
24003702208,2017,-0.584158415655682,1.2686566930526,0.272790008503161,-0.856948424158843,0.995866684549438
24003702208,2018,-0.738172830900152,1.11806717841269,0.249107796677419,-0.98728062757757,0.868959381735271
24003702208,2019,-0.848979184644817,0.277606166648826,0.535666317516544,-1.38464550216136,-0.258060150867718
24003702208,2020,-1.29328911890148,0.371209988976858,0.873943747782514,-2.16723286668399,-0.502733758805656
24003702208,2021,-0.798424185426249,0.230054050492476,0.785007188076186,-1.58343137350243,-0.55495313758371
24003702208,2022,-0.0275277334176823,0.480822104138603,1.03785089771343,-1.06537863113112,-0.557028793574832
