addressLatitude,addressLongitude,creditUnionName,creditUnionSiteName,city,cityPhysical,country,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,palS_I,palS_II,siteFunctions,siteName,state,url,zipcode,street
41.25124,-75.804273,CROSS VALLEY,Main Office,Wilkes Barre,,United States,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.crossvalleyfcu.org,18702-7943,640 Baltimore Dr
41.321199,-75.76878,HIGHWAY,HIGHWAY FCU,Hughestown,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Member Services;ATM;;,,PA,http://highwayfcu.org,18640,405 Laurel St
41.35415,-75.749114,CHOICE ONE COMMUNITY,Old Forg,Old Forge,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;Shared Service Center,,PA,http://www.choiceone.org,18518-2324,510 Bridge St
41.373173,-75.731514,CITYMARK,Old Forge Office,Old Forge,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.citymark.org,18518,201 N Main St
41.377227,-75.722673,NET,Taylor Branch,Taylor,,United States,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Member Services;ATM;Drive Thru;,,PA,https://www.netcreditunion.com,18517,900 S Main St
41.375861,-75.690352,PENN EAST,Davis Street Branch,Scranton,,United States,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.penneastfcu.org,18505,720 Davis St
41.485209,-75.692827,PENN EAST,Clarks Summit Branch,South Abington Township,,United States,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.penneastfcu.org,18411-2220,1070 Northern Blvd
41.41321,-75.671671,PENN EAST,Scranton Branch,Scranton,,United States,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.penneastfcu.org,18503,441 N 7th Ave
41.395804,-75.669118,SPOJNIA,Spojnia Credit Union,Scranton,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.spojniacreditunion.org,18505,1006 Pittston Ave
41.410525,-75.667521,PENTAGON,Scranton II,Scranton,,United States,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.penfed.org,18503,201 Franklin Ave First Floor
41.409196,-75.667204,SCRANTON DOWNTOWN,Scranton Downtown FCU,Scranton,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.scrantondtfcu.com,18503-2015,129 Penn Ave
41.413202,-75.665145,NET,Mulberry St Office,Scranton,,United States,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,https://www.netcreditunion.com,18503,119 Mulberry St
41.40197,-75.645933,CMC-FCPI EMPLOYEES,Main office,Scranton,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Member Services;;;,,PA,http://cmcfcpi.com,18510-2362,415 Colfax Ave
